Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,therocktrading,min,max,lower,bigger
2017-11-22 07:00:00,8211.19084068429,8204.753255287042,8291.06913319588,8236.610561880241,8224.392651072121,8219.192633928578,8200.63104,8214.657388316149,,8200.63104,8291.06913319588,itbit,cex.io
2017-11-22 08:00:00,8268.38500612597,8268.6486998917,8320.073725660379,8274.993957547142,8271.82168627452,8266.53301587302,8224.9782183908,8271.960170212758,8256.02,8224.9782183908,8320.073725660379,itbit,cex.io
2017-11-22 09:00:00,8266.59193048067,8275.27992215572,8316.27522751422,8275.22475242717,8274.850552147242,8270.1912803532,8224.37303571429,8277.94770992366,8264.77,8224.37303571429,8316.27522751422,itbit,cex.io
2017-11-22 10:00:00,8288.59420337843,8280.13535168199,8332.20996661653,8287.505327721079,8285.600259740258,8288.38313014828,8226.93530232557,8284.18607594936,,8226.93530232557,8332.20996661653,itbit,cex.io
2017-11-22 11:00:00,8285.75616123763,8291.492506849341,8341.2127626883,8291.29886124927,8285.91907801418,8294.955283613459,8255.217829457371,8290.649541284409,8231.62875,8231.62875,8341.2127626883,therocktrading,cex.io
2017-11-22 12:00:00,8252.24151210745,8263.14898366611,8323.22230584551,8266.29870838116,8254.78807580174,8262.84949494949,8234.88536231884,8273.88823529413,8222.98,8222.98,8323.22230584551,therocktrading,cex.io
2017-11-22 13:00:00,8201.764300230541,8204.344759398531,8274.91713695152,8226.08816629545,8222.627259668492,8205.78471062617,8193.04910994765,8219.90129032259,8191.88416666667,8191.88416666667,8274.91713695152,therocktrading,cex.io
2017-11-22 14:00:00,8168.6184297428,8178.55175657897,8249.12597976285,8185.75896939869,8185.653365921791,8161.151812154681,8164.74512048193,8180.71568228107,8198.98,8161.151812154681,8249.12597976285,hitbtc,cex.io
2017-11-22 15:00:00,8225.855314430699,8216.10301158302,8306.244099861691,8232.24869487754,8234.28169696972,8223.849081761009,8211.3037804878,8242.86199376947,8239.7175,8211.3037804878,8306.244099861691,itbit,cex.io
2017-11-22 16:00:00,8192.886795228,8192.626672710809,8277.71255715788,8200.92774545454,8198.60013281251,8199.726324786341,8180.38159574468,8214.289918256121,8172.034444444441,8172.034444444441,8277.71255715788,therocktrading,cex.io
2017-11-22 17:00:00,8165.984657978141,8166.07808564231,8270.54968169839,8179.40406670938,8180.2320923076795,8148.818116359459,8163.608688524591,8190.617256637171,8164.236,8148.818116359459,8270.54968169839,hitbtc,cex.io
2017-11-22 18:00:00,8116.47919854188,8113.25989844686,8252.34798497913,8134.19684793308,8129.645231958771,8108.179763546809,8113.68167330678,8152.23495145631,8102.28666666667,8102.28666666667,8252.34798497913,therocktrading,cex.io
2017-11-22 19:00:00,8159.080703526501,8167.57843558283,8283.61142361112,8178.911936813271,8167.8279661016795,8145.04758186398,8166.82057432433,8178.4730103806205,8121.02,8121.02,8283.61142361112,therocktrading,cex.io
2017-11-22 20:00:00,8179.22943017568,8183.525788964209,8295.43094573379,8193.50892123933,8191.715975359359,8169.188451612909,8185.47791821562,8201.621407624642,8207.97,8169.188451612909,8295.43094573379,hitbtc,cex.io
